GO,Aeropyrum_pernix.CDS.fa.OUTPUT.daa.m8,Aquifex_aeolicus.CDS.fa.OUTPUT.daa.m8,Archaeoglobus_fulgidus.CDS.fa.OUTPUT.daa.m8,Hyperthermus_butyilicus.CDS.fa.OUTPUT.daa.m8,Methanococcus_jannaschii.CDS.fa.OUTPUT.daa.m8,Methanopyrus_kandleri.CDS.fa.OUTPUT.daa.m8,Methanothermus_fervidus.CDS.fa.OUTPUT.daa.m8,Pyrococcus_feriosus.CDS.fa.OUTPUT.daa.m8,Pyrodicitium_abyssi.CDS.fa.OUTPUT.daa.m8,Pyrolobus_fumarii.CDS.fa.OUTPUT.daa.m8,Sulfolobus_acidocaldarius.CDS.fa.OUTPUT.daa.m8,Thermocrinis_minervae.CDS.fa.OUTPUT.daa.m8,Thermocrinis_ruber.CDS.fa.OUTPUT.daa.m8,Thermotoga_maritima.CDS.fa.OUTPUT.daa.m8
endonuclease activity [GO:0004519],3,1,2,3,8,6,1,7,6,2,3,4,1,1
 negative regulation of ribosome biogenesis [GO:0090071],0,1,0,0,0,0,0,0,0,0,0,0,1,1
 cellular modified amino acid biosynthetic process [GO:0042398],0,0,1,0,0,0,0,0,0,0,0,0,0,0
 primary amine oxidase activity [GO:0008131],0,0,0,0,0,0,0,0,0,0,1,0,0,0
NAD(P)H dehydrogenase (quinone) activity [GO:0003955],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 L-methionine salvage from S-adenosylmethionine [GO:0019284],0,1,0,0,0,1,1,0,0,1,0,0,1,1
 D-glucuronate catabolic process [GO:0042840],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903],0,0,0,0,0,0,0,0,0,0,1,0,0,0
 dimethylallyltranstransferase activity [GO:0004161],0,0,0,0,0,0,0,0,0,0,0,0,0,1
L-aspartate oxidase activity [GO:0008734],0,0,0,0,0,1,1,0,0,0,0,0,0,0
3-hydroxyacyl-CoA dehydrogenase activity [GO:0003857],1,0,7,0,0,0,0,0,0,1,5,0,0,0
 lipid-transporting ATPase activity [GO:0034040],0,1,0,0,0,0,0,0,0,0,0,0,0,1
double-stranded RNA binding [GO:0003725],0,0,0,1,0,1,1,0,0,1,0,0,1,0
 uroporphyrinogen decarboxylase activity [GO:0004853],0,1,0,0,0,0,0,0,0,0,0,0,1,0
GDP-mannose 4,6-dehydratase activity [GO:0008446],0,1,0,0,0,0,0,0,0,0,0,0,0,0
ribonuclease activity [GO:0004540],0,0,0,0,0,0,0,0,0,0,0,0,1,1
 oxidation-reduction process [GO:0055114],3,12,9,2,28,8,3,7,9,3,8,0,5,4
2-phosphosulfolactate phosphatase activity [GO:0050532],0,0,0,0,1,2,1,0,0,0,0,0,0,1
 rRNA (uridine-C5-)-methyltransferase activity [GO:0070041],0,0,0,0,0,0,0,1,1,0,0,0,0,0
 glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) activity [GO:0047100],0,0,0,0,0,0,1,0,0,0,0,0,0,0
 biotin carboxylase activity [GO:0004075],0,3,1,1,1,0,1,0,0,0,1,0,3,0
 glucose-1-phosphate adenylyltransferase activity [GO:0008878],0,0,0,0,0,0,0,0,0,0,0,0,0,2
DNA-templated transcription, initiation [GO:0006352],0,0,0,0,2,0,0,0,0,0,0,0,0,0
prephenate dehydrogenase (NAD+) activity [GO:0008977],0,0,0,0,0,1,1,1,0,1,1,0,1,1
 leucine-tRNA ligase activity [GO:0004823],1,2,1,1,1,1,1,1,1,1,2,0,2,1
 adenosylhomocysteinase activity [GO:0004013],1,1,1,0,1,1,0,1,1,0,0,0,0,0
 thiazole biosynthetic process [GO:0052837],0,0,0,1,1,1,1,0,0,1,1,0,0,0
 peptidoglycan glycosyltransferase activity [GO:0008955],0,1,0,0,0,0,0,0,0,0,0,0,0,3
 L-phenylalanine:2-oxoglutarate aminotransferase activity [GO:0080130],1,2,2,2,2,1,2,1,1,0,0,0,1,2
 sister chromatid cohesion [GO:0007062],0,1,1,0,1,0,0,1,1,0,0,0,1,2
 nitrogen fixation [GO:0009399],1,1,1,1,3,2,3,1,1,1,1,0,1,1
 biosynthetic process [GO:0009058],11,6,5,6,8,12,19,13,13,9,14,1,7,7
 geranylgeranyl reductase activity [GO:0045550],0,0,1,0,0,2,1,0,0,0,0,0,0,0
 peptidoglycan metabolic process [GO:0000270],0,3,0,0,0,0,0,0,0,0,0,0,2,1
 cell division [GO:0051301],3,18,9,2,3,4,2,9,10,1,4,1,15,19
 negative regulation of gene expression [GO:0010629],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 protein dimerization activity [GO:0046983],1,1,1,0,2,1,0,1,1,0,0,0,0,0
 D-ribose metabolic process [GO:0006014],2,0,1,1,1,1,3,3,2,1,1,0,0,0
 [2Fe-2S] cluster assembly [GO:0044571],0,0,2,0,0,0,0,0,0,0,0,0,0,0
 peptide alpha-N-acetyltransferase activity [GO:0004596],0,0,0,0,0,0,0,0,0,0,0,0,0,2
 imidazoleglycerol-phosphate synthase activity [GO:0000107],0,1,1,0,2,1,2,1,0,2,1,0,2,1
 protein transporter activity [GO:0008565],1,9,0,1,0,2,2,0,0,0,1,0,7,2
aspartate carbamoyltransferase complex [GO:0009347],1,0,1,1,1,1,1,1,1,1,1,0,0,0
 phosphoribosylglycinamide formyltransferase 2 activity [GO:0043815],0,0,0,0,0,0,0,0,0,1,0,0,0,0
 coproporphyrinogen dehydrogenase activity [GO:0051989],0,1,0,0,0,0,0,0,0,0,0,0,0,1
dTDP-4-dehydrorhamnose 3,5-epimerase activity [GO:0008830],1,0,1,0,0,0,1,0,1,1,1,0,0,0
 phosphatidylglycerophosphatase activity [GO:0008962],0,1,0,0,0,0,0,0,0,0,0,0,1,0
 glycerol-3-phosphate metabolic process [GO:0006072],0,1,1,0,0,0,0,1,1,0,4,0,0,2
 amidase activity [GO:0004040],1,1,1,1,1,1,1,0,0,1,1,0,1,1
 antiporter activity [GO:0015297],2,1,2,1,2,0,0,5,4,0,0,0,1,3
maintenance of CRISPR repeat elements [GO:0043571],0,1,1,1,0,0,1,1,1,0,0,0,2,1
CoA-transferase activity [GO:0008410],0,0,1,0,0,0,0,0,0,0,2,0,0,0
racemase and epimerase activity, acting on carbohydrates and derivatives [GO:0016857],0,1,0,0,0,1,1,0,0,0,0,0,2,0
 homoserine metabolic process [GO:0009092],0,1,0,0,2,0,0,0,0,0,0,0,0,0
 iron ion binding [GO:0005506],2,10,6,2,4,2,9,3,3,2,5,2,17,7
 ribosomal large subunit binding [GO:0043023],0,2,0,0,1,0,0,0,0,0,0,0,1,2
 acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity [GO:0008780],0,1,0,0,0,0,0,0,0,0,0,0,1,0
alpha-L-fucosidase activity [GO:0004560],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 prolyl-tRNA aminoacylation [GO:0006433],1,1,1,1,1,1,1,1,1,1,1,0,1,1
glycolate oxidase complex [GO:0009339],0,0,1,0,0,0,0,0,0,0,0,0,0,0
 phosphorelay sensor kinase activity [GO:0000155],0,5,22,0,0,1,0,0,1,0,0,0,6,7
fatty acid synthase complex [GO:0005835],0,0,1,0,0,0,0,0,0,0,0,0,0,0
 L-arabinose catabolic process to xylulose 5-phosphate [GO:0019569],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 cytidylate kinase activity [GO:0004127],1,1,1,1,1,1,1,1,1,1,1,0,1,1
hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553],0,1,0,0,0,0,2,6,2,0,1,0,0,0
 potassium ion symporter activity [GO:0022820],0,1,1,0,0,0,0,1,1,0,0,0,1,1
 phytol metabolic process [GO:0033306],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 replication fork reversal [GO:0071932],0,0,0,0,0,0,0,0,0,0,0,0,0,1
glutamyl-tRNA reductase activity [GO:0008883],1,1,1,1,1,1,1,0,0,1,1,0,1,0
 glycine biosynthetic process, by transamination of glyoxylate [GO:0019265],0,0,0,0,1,0,0,0,0,0,0,0,0,1
 L-asparagine biosynthetic process [GO:0070981],0,0,0,0,2,0,0,0,0,0,0,0,0,0
 trehalose biosynthetic process [GO:0005992],0,0,0,0,0,0,0,0,0,0,1,0,0,0
 methylated-DNA-[protein]-cysteine S-methyltransferase activity [GO:0003908],0,0,1,1,1,1,0,1,1,0,1,0,0,1
molybdenum ion binding [GO:0030151],1,0,4,2,1,0,1,1,1,1,0,0,1,0
 sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase activity [GO:0052591],0,0,0,0,0,0,0,0,0,0,1,0,0,0
metallocarboxypeptidase activity [GO:0004181],1,0,0,1,0,0,0,0,1,0,1,0,0,0
 anaerobic cobalamin biosynthetic process [GO:0019251],0,0,1,0,0,0,1,0,0,0,1,0,0,0
 tRNA aminoacylation for protein translation [GO:0006418],0,2,0,0,1,0,0,1,1,0,0,0,1,1
 ribosomal large subunit assembly [GO:0000027],0,3,0,0,4,0,0,0,0,0,0,0,1,2
sulfurtransferase activity [GO:0016783],0,0,2,1,0,0,1,0,0,0,0,0,0,0
 phosphogluconate dehydrogenase (decarboxylating) activity [GO:0004616],1,1,0,1,0,0,2,1,0,1,1,0,1,0
 L-malate dehydrogenase activity [GO:0030060],0,0,1,1,0,0,1,0,1,0,0,0,0,0
 thioredoxin-disulfide reductase activity [GO:0004791],1,2,1,0,1,0,1,1,1,1,1,0,2,1
 thiamine pyrophosphate binding [GO:0030976],3,3,9,5,6,7,7,8,7,3,11,0,4,5
 ubiquinol-cytochrome-c reductase activity [GO:0008121],0,1,0,0,0,0,0,0,0,0,0,0,1,0
 acetolactate synthase activity [GO:0003984],0,1,0,0,1,0,0,0,0,0,0,0,0,0
 asparagine-tRNA ligase activity [GO:0004816],0,0,0,0,0,0,0,1,1,0,0,0,0,0
 DNA 3' dephosphorylation involved in DNA repair [GO:0098504],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 leucine biosynthetic process [GO:0009098],0,6,8,0,8,8,7,6,7,5,4,0,5,8
 response to biotic stimulus [GO:0009607],0,0,0,0,0,0,0,0,0,0,0,0,0,2
 riboflavin synthase activity [GO:0004746],1,1,1,1,1,1,1,0,0,1,1,0,0,1
 pyrimidine nucleoside metabolic process [GO:0006213],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 glutamate N-acetyltransferase activity [GO:0004358],0,1,1,0,1,1,1,0,0,0,0,0,1,1
chorismate metabolic process [GO:0046417],0,0,0,0,0,1,1,1,0,0,0,0,0,0
 NAD metabolic process [GO:0019674],1,1,1,1,1,1,1,1,1,1,1,0,1,1
 molybdenum incorporation into molybdenum-molybdopterin complex [GO:0018315],0,0,0,0,1,0,0,0,0,0,0,0,0,0
transferase activity, transferring selenium-containing groups [GO:0016785],0,0,0,0,1,1,0,0,0,0,0,0,0,0
glutamyl-tRNA(Gln) amidotransferase complex [GO:0030956],1,1,1,1,1,1,1,0,0,1,1,0,1,1
thiamine binding [GO:0030975],0,0,0,0,0,0,0,2,1,0,0,0,0,0
 DNA dealkylation involved in DNA repair [GO:0006307],0,1,0,0,0,0,0,0,0,0,1,0,0,1
 maleate hydratase activity [GO:0050075],0,0,0,0,2,0,0,0,0,0,0,0,0,0
oxygen-dependent protoporphyrinogen oxidase activity [GO:0004729],0,1,0,0,0,0,0,0,0,0,0,0,1,0
 carbon fixation [GO:0015977],0,0,3,1,1,1,1,2,2,1,1,0,0,0
 UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity [GO:0003975],0,0,0,0,0,0,0,0,0,0,1,0,0,0
 peroxiredoxin activity [GO:0051920],1,2,1,1,1,0,1,2,1,1,0,0,0,3
 RNA ligase activity [GO:0008452],1,1,1,1,1,1,1,1,1,1,1,0,1,1
 motor activity [GO:0003774],0,5,0,0,0,0,0,0,0,0,0,0,6,7
precorrin-2 C20-methyltransferase activity [GO:0030788],0,0,1,0,0,1,1,0,0,0,0,0,0,0
 glycerol-1-phosphate dehydrogenase [NAD(P)+] activity [GO:0050492],1,0,1,1,1,1,1,1,1,1,1,0,0,0
 oxidoreductase activity, acting on NAD(P)H [GO:0016651],1,2,3,0,3,2,1,1,2,0,0,0,0,0
 endonuclease activity [GO:0004519],7,3,7,6,19,8,6,17,12,4,7,0,4,4
 pyrimidine nucleoside salvage [GO:0043097],0,1,0,0,0,0,0,0,0,0,0,0,0,1
 high-affinity iron ion transmembrane transport [GO:0006827],1,0,1,0,0,0,0,1,0,0,0,0,0,1
 3-methyl-2-oxobutanoate hydroxymethyltransferase activity [GO:0003864],1,1,0,1,0,0,0,1,1,1,1,0,1,1
alanine dehydrogenase activity [GO:0000286],0,0,1,0,0,1,0,0,0,1,0,0,0,0
 chromate transmembrane transporter activity [GO:0015109],0,0,0,0,1,0,0,0,0,0,0,0,0,2
 ATP-dependent 3'-5' DNA helicase activity [GO:0043140],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 exoribonuclease II activity [GO:0008859],0,1,0,0,0,0,0,0,0,0,0,0,1,1
poly(ADP-ribose) glycohydrolase activity [GO:0004649],0,0,0,0,0,0,0,0,0,1,0,0,0,0
 deoxyribose phosphate catabolic process [GO:0046386],1,1,0,0,0,0,0,0,0,0,0,0,1,1
 O-phosphoserine sulfhydrylase activity [GO:0033847],1,0,0,0,0,0,0,0,0,0,0,0,0,0
 ATP metabolic process [GO:0046034],0,0,0,0,0,0,0,0,0,0,0,0,1,1
 cytidine to uridine editing [GO:0016554],0,0,0,0,0,1,0,0,0,0,0,0,0,0
amino acid-transporting ATPase activity [GO:0015424],0,0,1,1,0,0,0,0,0,0,0,0,0,1
 ribosome binding [GO:0043022],1,5,1,1,5,1,1,1,1,1,1,0,4,4
xylulokinase activity [GO:0004856],0,0,2,0,0,0,0,0,0,0,0,0,0,1
 coenzyme A biosynthetic process [GO:0015937],1,4,3,1,3,3,3,4,3,1,1,1,4,4
acyl-CoA dehydrogenase activity [GO:0003995],5,0,13,0,0,0,0,0,0,0,8,0,0,0
 iron ion homeostasis [GO:0055072],0,1,0,0,2,0,0,0,0,0,0,0,1,1
 protein secretion by the type II secretion system [GO:0015628],0,3,0,0,0,0,0,0,0,0,0,0,3,1
 phosphomethylpyrimidine kinase activity [GO:0008972],0,1,1,0,1,0,0,0,0,0,0,0,1,1
 nuclear-transcribed mRNA catabolic process, non-stop decay [GO:0070481],1,0,1,1,1,1,1,1,1,1,1,0,0,0
 phosphatidylserine decarboxylase activity [GO:0004609],0,0,1,0,1,1,0,0,0,0,0,0,0,0
 DNA recombination [GO:0006310],4,11,12,3,7,7,4,6,6,3,8,0,10,9
protein transporter activity [GO:0008565],0,0,1,0,0,0,0,0,0,0,0,0,1,0
 L-cystine L-cysteine-lyase (deaminating) [GO:0044540],1,0,0,0,0,0,0,0,0,0,0,0,0,0
 plasma membrane respiratory chain complex I [GO:0045272],0,2,0,0,0,0,0,0,0,0,0,0,0,0
 tRNA nucleoside ribose methylation [GO:0002128],1,0,1,1,1,1,1,1,1,0,1,0,0,0
 translation [GO:0006412],68,56,66,71,67,69,65,62,62,70,66,2,58,58
 four-way junction helicase activity [GO:0009378],0,0,0,0,1,1,0,1,1,0,0,0,0,3
 cation transmembrane transporter activity [GO:0008324],4,5,4,4,3,4,1,7,7,5,3,0,2,5
 oxidoreductase activity, acting on other nitrogenous compounds as donors, with NAD or NADP as acceptor [GO:0046857],0,1,0,0,0,0,0,0,0,0,0,0,1,1
 formate oxidation [GO:0015944],0,2,0,1,0,0,0,0,0,0,0,0,1,0
 guanosine tetraphosphate biosynthetic process [GO:0015970],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 DNA-templated transcription, termination [GO:0006353],1,4,1,1,1,1,1,1,1,1,1,0,4,4
L-isoleucine transaminase activity [GO:0052656],0,1,1,0,1,0,1,0,0,0,0,0,0,1
hydrolase activity, acting on glycosyl bonds [GO:0016798],2,0,0,1,0,0,2,1,1,1,1,0,0,4
 starch synthase activity [GO:0009011],0,1,0,0,1,0,0,0,0,0,0,0,1,1
 5-(carboxyamino)imidazole ribonucleotide synthase activity [GO:0034028],0,1,0,0,0,0,0,0,0,0,0,0,0,1
 phenylacetate catabolic process [GO:0010124],0,0,2,0,0,0,1,0,0,0,1,0,0,0
glycine cleavage complex [GO:0005960],1,5,0,1,0,0,0,1,1,1,3,0,5,1
 acetyl-CoA catabolic process [GO:0046356],0,0,1,0,1,1,1,0,0,0,0,0,0,0
 methanofuran biosynthetic process [GO:2001120],0,0,0,0,1,0,2,0,0,0,0,0,0,0
 3 iron, 4 sulfur cluster binding [GO:0051538],0,3,0,0,0,0,0,3,0,0,0,0,2,0
 tRNA modification [GO:0006400],2,4,4,3,4,5,4,3,3,4,1,0,3,4
 tRNA wobble adenosine to inosine editing [GO:0002100],0,1,0,0,0,0,0,0,0,0,0,0,1,1
 protein secretion by the type III secretion system [GO:0030254],0,1,0,0,0,0,0,0,0,0,0,0,1,1
pyrophosphatase activity [GO:0016462],0,0,0,0,0,0,0,0,0,0,0,0,0,1
dCTP deaminase (dUMP-forming) activity [GO:0033973],0,0,0,0,1,0,0,0,0,0,0,0,0,0
 very-long-chain-(S)-2-hydroxy-acid oxidase activity [GO:0052852],0,0,1,0,0,0,0,0,0,0,0,0,0,0
 rRNA methylation [GO:0031167],0,0,0,0,1,0,0,1,1,0,0,0,1,1
 UDP-N-acetyl-D-glucosamine:N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenol 4-beta-N-acetylglucosaminlytransferase activity [GO:0051991],0,1,0,0,0,0,0,0,0,0,0,0,1,1
 primosome complex [GO:1990077],1,1,1,1,1,1,1,1,1,1,1,0,0,0
DNA binding [GO:0003677],36,28,70,46,59,44,26,56,42,43,56,9,36,46
proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 FAD biosynthetic process [GO:0006747],0,1,1,0,1,1,1,1,1,0,0,0,1,1
 cytidine deaminase activity [GO:0004126],0,0,0,0,0,0,0,0,0,0,0,0,0,1
methylated-DNA-[protein]-cysteine S-methyltransferase activity [GO:0003908],1,1,0,0,0,0,1,0,0,1,0,0,0,0
 DNA catabolic process, exonucleolytic [GO:0000738],1,0,1,0,2,1,2,0,0,0,0,0,0,0
 sulfur compound metabolic process [GO:0006790],0,0,1,0,0,1,1,0,0,0,0,0,0,0
dCMP deaminase activity [GO:0004132],0,0,1,0,0,0,0,1,1,0,0,0,0,0
 proteasome-activating nucleotidase complex [GO:0022623],1,0,0,1,1,0,1,0,0,1,1,0,0,0
vacuolar transport [GO:0007034],1,0,0,0,0,0,0,0,0,0,0,0,0,0
ruffle membrane [GO:0032587],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 tRNA dimethylallyltransferase activity [GO:0052381],0,1,0,0,0,0,0,0,0,0,0,0,1,1
phosphoadenylyl-sulfate reductase (thioredoxin) activity [GO:0004604],0,0,0,0,0,0,0,0,0,0,2,0,0,0
 indolepyruvate ferredoxin oxidoreductase activity [GO:0043805],0,0,1,2,0,0,0,3,2,0,1,0,0,0
 cupric reductase activity [GO:0008823],0,0,0,0,1,0,0,0,0,0,0,0,0,0
precorrin-6A reductase activity [GO:0016994],0,0,0,0,1,0,1,0,0,0,0,0,0,0
glyoxylate reductase activity [GO:0047964],2,0,0,0,0,0,0,0,0,1,0,0,0,0
alpha-galactosidase activity [GO:0004557],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 isoleucine biosynthetic process [GO:0009097],2,8,7,0,11,5,5,5,4,4,6,0,5,5
 2 iron, 2 sulfur cluster binding [GO:0051537],2,5,2,0,0,0,0,3,0,0,2,0,2,1
 6-phosphogluconolactonase activity [GO:0017057],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 protein maturation by iron-sulfur cluster transfer [GO:0097428],0,2,0,0,0,0,0,0,0,0,0,0,1,1
carboxy-lyase activity [GO:0016831],6,1,4,3,1,2,1,2,2,2,6,0,1,0
 coenzyme M biosynthetic process [GO:0019295],0,0,0,0,5,1,2,0,0,0,0,0,0,0
3-oxo-pimeloyl-[acp] methyl ester reductase activity [GO:0102132],1,1,0,0,0,0,0,0,0,0,2,0,0,3
 proteasome core complex [GO:0005839],2,1,1,2,0,1,0,2,2,0,1,0,1,1
 mRNA processing [GO:0006397],0,1,0,0,0,0,0,0,0,0,0,0,1,1
 oxygen binding [GO:0019825],1,1,0,0,1,0,0,0,0,0,0,0,2,0
 methylmalonyl-CoA mutase activity [GO:0004494],1,0,3,0,0,0,0,1,1,0,1,0,0,0
methionine gamma-lyase activity [GO:0018826],0,0,0,1,0,0,0,0,0,0,0,0,0,0
 UMP kinase activity [GO:0033862],1,1,1,1,1,1,1,1,1,1,1,0,1,1
 UTP:galactose-1-phosphate uridylyltransferase activity [GO:0017103],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 uroporphyrinogen III biosynthetic process [GO:0006780],0,1,0,0,1,0,0,0,0,0,0,0,0,0
cob(I)yrinic acid a,c-diamide adenosyltransferase activity [GO:0008817],1,0,0,0,0,0,0,0,0,0,0,0,0,0
geranylgeranyl reductase activity [GO:0045550],0,0,0,0,1,0,0,1,1,0,0,0,0,0
 orotate phosphoribosyltransferase activity [GO:0004588],0,0,0,0,0,0,1,0,0,1,0,0,1,0
 voltage-gated potassium channel complex [GO:0008076],0,1,0,0,1,0,0,0,0,0,0,0,0,0
 response to heat [GO:0009408],0,2,0,0,0,0,0,0,0,0,0,0,2,1
 viral entry into host cell [GO:0046718],0,0,0,0,0,0,0,0,0,0,2,0,0,0
 chaperone binding [GO:0051087],0,1,0,0,1,0,0,0,0,0,0,0,0,0
3-hydroxybutyryl-CoA dehydratase activity [GO:0003859],0,0,2,0,0,0,0,0,0,0,1,0,0,0
 ion transmembrane transport [GO:0034220],0,0,1,0,0,0,0,0,0,0,0,0,0,0
 cytochrome complex assembly [GO:0017004],2,3,4,2,0,0,0,1,0,2,0,0,3,1
 aminoacyl-tRNA hydrolase activity [GO:0004045],1,1,1,1,1,1,1,1,1,1,1,0,1,1
 undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity [GO:0050511],0,1,0,0,0,0,0,0,0,0,0,0,1,1
 serine O-acetyltransferase activity [GO:0009001],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 cell morphogenesis [GO:0000902],0,2,0,0,0,0,0,0,0,0,0,0,1,3
 doxorubicin transport [GO:1900753],2,0,1,0,0,0,2,2,2,0,1,0,0,1
 decanoate--CoA ligase activity [GO:0102391],1,0,0,0,0,0,0,0,0,0,0,0,0,0
 regulation of cell septum assembly [GO:1901891],0,1,0,0,0,0,0,0,0,0,0,0,1,1
 L-threonine catabolic process to glycine [GO:0019518],0,0,0,0,0,0,0,1,1,0,0,0,0,0
 glycerol-3-phosphate catabolic process [GO:0046168],0,1,1,0,0,0,0,0,0,0,0,0,1,2
 cobalt ion binding [GO:0050897],1,0,0,0,1,1,2,1,1,1,1,0,0,1
 catabolic process [GO:0009056],0,0,0,0,0,0,0,0,0,0,1,0,0,1
 rRNA catabolic process [GO:0016075],0,2,0,0,0,0,0,0,0,0,0,0,1,1
 N-terminal protein amino acid modification [GO:0031365],0,1,0,0,0,0,0,0,0,0,0,0,0,1
 RNA secondary structure unwinding [GO:0010501],0,3,0,0,7,0,0,0,0,0,0,0,0,2
 DNA topoisomerase type II (ATP-hydrolyzing) activity [GO:0003918],4,4,5,4,3,2,3,3,3,4,3,0,3,3
dihydropteroate synthase activity [GO:0004156],0,0,0,0,0,0,0,1,0,0,0,0,1,1
 neurotransmitter:sodium symporter activity [GO:0005328],0,1,1,1,1,0,0,3,1,0,0,0,1,0
 nitrogenase activity [GO:0016163],0,0,0,0,1,1,2,0,0,0,0,0,0,0
glutamate synthase (NADPH) activity [GO:0004355],0,0,1,0,0,1,3,1,0,1,1,0,0,3
lactaldehyde dehydrogenase activity [GO:0008911],0,0,0,0,1,0,0,0,0,0,0,0,0,0
 ATPase binding [GO:0051117],0,0,0,0,1,0,0,0,0,0,0,0,0,0
phosphatase activity [GO:0016791],1,0,0,0,0,0,0,1,1,1,1,0,0,0
 DNA-templated transcription, initiation [GO:0006352],3,3,3,6,5,5,3,6,4,4,7,0,3,5
 asparagine biosynthetic process [GO:0006529],1,0,1,0,1,1,2,2,2,1,0,0,1,0
 sulfate transmembrane transporter activity [GO:0015116],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 prephenate dehydrogenase (NAD+) activity [GO:0008977],1,1,1,0,1,1,0,0,0,0,0,0,0,0
 UTP catabolic process [GO:0046052],0,1,0,0,0,0,0,0,0,0,0,0,0,2
 cellular respiration [GO:0045333],0,3,0,1,0,0,0,0,0,0,0,1,2,1
aldehyde ferredoxin oxidoreductase activity [GO:0033726],0,0,1,1,0,0,0,0,0,2,0,0,0,0
